basename,yield,solvent1,solvent2,solvent3,solvent4,solvent5,sol_molratio1,sol_molratio2,sol_molratio3,sol_molratio4,sol_molratio5,additive1,additive2,additive3,additive4,additive5,temperature_Celsius,time_h,core_All_Metals,counterions1,counterions2,counterions3,linker_1,linker_2
XASPEP,,CN(C)C=O,,,,,1.0,,,,,[H+].[B-](F)(F)(F)F,,,,,100,120,Zn,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
IBUBIT,53.0,CN(C)C=O,O,,,,0.281,0.719,,,,,,,,,100,144,Zn,NO3,,,,
SAMVEK,,CO,CC(=O)N(C)C,,,,0.695,0.305,,,,CC(=O)O,,,,,100,144,Mn,NO3,,,[O-]C(=O)C,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
UYAMIS,45.0,CN(C)C=O,C1COCCO1,,,,0.688,0.312,,,,,,,,,100,144,Cd,NO3,,,,
ZEZPAX,,CN(C)C=O,,,,,1.0,,,,,,,,,,100,144,Dy,NO3,,,[O-]C(=O)c1ccnc(c1)c1nccc(c1)C(=O)[O-],
BINSAU,23.0,CN(C)C=O,,,,,1.0,,,,,,,,,,100,168,Mn,NO3,,,[O-]C(=O)c1ccc2c(c1)ccc(c2)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])c1ccc2c(c1)ccc(c2)C(=O)[O-],
ORUKET,,CC(=O)N(C)C,CCO,O,,,0.229,0.183,0.588,,,Cl,,,,,100,192,Mg,NO3,,,[O-]C(=O)c1ccc(cc1)O[P]1(Oc2ccc(cc2)C(=O)[O-])[N][P](Oc2ccc(cc2)C(=O)[O-])(Oc2ccc(cc2)C(=O)[O-])[N][P]([N]1)(Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-],
VEHROR,60.0,O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,102,48,La,Cl,,,[O-]C(=O)c1cccc(n1)C(=O)[O-],
VEGMIE,,CCN(CC)C=O,,,,,1.0,,,,,,,,,,102,72,Co,Cl,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
MUNDEG,76.0,CN(C)C=O,C1COCCO1,,,,0.734,0.266,,,,[N+](=O)(O)[O-],,,,,105,12,Cu,I,,,C1CN2CCN1CC2,[O-]C(=O)c1ccc(cc1)c1cncc(c1)C(=O)[O-]
ADASUV,,CN(C)C=O,CN1CCCC1=O,,,,0.714,0.286,,,,,,,,,105,23,Co,NO3,,,[O-]C(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
CUTBIE,67.0,CN(C)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,105,24,La,NO3,,,[O-]C(=O)C1=[C][C]=C([C]=[C]1)C1=[C]N(N=N1)C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-],
EXOFIH,30.0,CC(=O)N(C)C,CCO,,,,0.485,0.515,,,,[N+](=O)(O)[O-],C1CNCCN1,,,,105,36,In,Cl,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
YIJYUN,36.3,O,,,,,1.0,,,,,C(=O)(O)[O-].[Na+],,,,,105,60,Zn,NO3,,,[O-]C(=O)C1CC(C(C1C(=O)[O-])C(=O)[O-])C(=O)[O-],n1ccc(cc1)C=Cc1ccncc1
ALIXOJ,69.0,CN(C)C=O,O,,,,0.19,0.81,,,,,,,,,105,72,Ni,O,,,[O-]C(=O)c1cc(Cc2cc(cc(c2)C(=O)O)C(=O)[O-])cc(c1)C(=O)[O-],
LAQZOV,,CN(C)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,105,72,Ce,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
LAZHUR,64.0,CN(C)C=O,O,,,,0.105,0.895,,,,,,,,,105,72,Co,NO3,,,[O-]C(=O)c1cccc(c1)C(=O)[O-],n1ccc(cc1)OCC(COc1ccncc1)(COc1ccncc1)COc1ccncc1
NUCPEI,,CN(C)C=O,O,,,,0.412,0.588,,,,,,,,,105,72,Zn,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(c(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],
NUCPIM,,CC(=O)N(C)C,O,,,,0.226,0.774,,,,,,,,,105,72,Zn,NO3,,,,
UWALEL,,CN(C)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,105,72,Cu,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cccc(n1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
XORHET,69.0,O,,,,,1.0,,,,,,,,,,105,72,Co,SO4,,,,
CORZIU,61.0,CN(C)C=O,CCN(CC)C=O,,,,0.742,0.258,,,,C(=O)O,,,,,105,96,In,NO3,,,[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-],
VEHRIL,30.0,O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,107,48,Sm,O,,,[O-]C(=O)c1cccc(n1)C(=O)[O-],
GIQZIQ,73.5,CN(C)C=O,CO,,,,0.345,0.655,,,,,,,,,110,24,Mg,NO3,,,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],
LEVNOQ,64.2,CN(C)C=O,,,,,1.0,,,,,,,,,,110,24,Mg,NO3,,,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],
GOBTAT,,CN(C)C=O,CC1=CC=CC=C1C,,,,0.757,0.243,,,,,,,,,110,36,Co,NO3,,,,
KUHNIM,57.0,O,,,,,1.0,,,,,[NH4+].[OH-],,,,,110,48,Zn,NO3,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
UYOFIY,62.0,CCO,O,,,,0.237,0.763,,,,CCN(CC)CC,,,,,110,48,Tb,NO3,,,[O-]C(=O)c1[nH]cnc1C(=O)[O-],
ZOFZIF,,CN(C)C=O,,,,,1.0,,,,,CC(=O)O,,,,,110,48,Mn,Cl,,,[O-]C(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],
ZOFZOL,,CCN(CC)C=O,,,,,1.0,,,,,CC(=O)O,,,,,110,48,Co,NO3,,,[O-]C(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],
EREGOY,82.0,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,110,72,Cd,NO3,,,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],
ETEMIB,,O,CN(C)C=O,,,,0.994,0.006,,,,[OH-].[Na+],,,,,110,72,Co,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],n1ncn(c1)Cc1ccc(cc1)Cn1cnnc1
PAFMUH,47.0,O,CO,,,,0.832,0.168,,,,[OH-].[Na+],,,,,110,72,Cd,NO3,,,Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-],n1ncn(c1)c1ccc(cc1)Cc1ccc(cc1)n1cnnc1
PORLAL,70.0,CN(C)C=O,O,,,,0.123,0.877,,,,,,,,,110,72,Gd,NO3,,,[O-]C(=O)c1ccc2c(c1)[nH]c(n2)c1ccc(cc1)c1nc2c([nH]1)cc(cc2)C(=O)[O-],[O-]C(=O)c1ccc2c(c1)nc([nH]2)c1ccc(cc1)c1[nH]c2c(n1)ccc(c2)C(=O)[O-]
QUNWAZ,58.0,CN(C)C=O,C1=CC=C(C=C1)Cl,,,,0.568,0.432,,,,,,,,,110,72,Zn,NO3,,,,
TOHYUM,54.0,CC(=O)N(C)C,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,110,72,Zn,NO3,,,[O-]C(=O)c1cccc(c1)C(=O)[O-],
VIVLAP,65.0,CN(C)C=O,O,,,,0.19,0.81,,,,[N+](=O)(O)[O-],,,,,110,72,Tb,O,,,[O-]C(=O)CCn1c(=O)n(CCC(=O)[O-])c(=O)n(c1=O)CCC(=O)[O-],
VOGTIV,,C1CCOC1,O,,,,0.27,0.73,,,,[OH-].[Na+],,,,,110,72,Mg,NO3,,,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],
WIJXAQ,60.0,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,110,72,Zn,NO3,,,,
WIRKOZ,,CN(C)C=O,,,,,1.0,,,,,,,,,,110,72,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)COc1ccc(c2c1C1c3c(C2c2c1cccc2)cccc3)OCc1ccc(cc1)C(=O)[O-],
WIRMOB,,CN(C)C=O,,,,,1.0,,,,,,,,,,110,72,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)COc1c2c(c(c3c1C1c4c(C3c3c1cccc3)cccc4)OCc1ccc(cc1)C(=O)[O-])C1c3c(C2c2c1cccc2)cccc3,
XUKNIC,,O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,110,80,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
KEVVIS,,O,CCO,CN(C)C=O,,,0.72,0.223,0.056,,,,,,,,110,96,Co,NO3,,,C(Cc1ccncc1)Cc1ccncc1,[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]
REDYEG,45.0,CC(C)CO,CO,,,,0.335,0.665,,,,,,,,,110,96,Zn,F,,,[O-]C(=O)c1ccncc1,
ADASIJ,,CN(C)C=O,O,,,,0.19,0.81,,,,,,,,,115,23,Cu,NO3,,,[O-]C(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
DUNYOC,50.0,CN(C)C=O,,,,,1.0,,,,,,,,,,115,72,Zn,NO3,,,,
ZUQMAB,69.0,CN(C)C=O,,,,,1.0,,,,,,,,,,115,96,Co,NO3,,,,
BUXZAX,49.0,CCN(CC)C=O,,,,,1.0,,,,,C1=CC=C(C=C1)C(=O)O,,,,,120,48,"Fe,Hf",Cl|meso-tetra(4-carboxyphenyl)porphyrin,Cl|O,,[O-]C(=O)c1ccc(cc1)C1=C2[CH2]=[CH2]C3=[N]2[Fe]24(n5c1ccc5C(=C1[N]2=C([CH2]=[CH2]1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])Cl,
LUYSOP,,CN(C)C=O,,,,,1.0,,,,,CC(=O)O,Cl,,,,120,12,Co,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
SONTIZ,,CN(C)C=O,,,,,1.0,,,,,,,,,,120,20,Tb,NO3,,,,
SONTOF,,CN(C)C=O,,,,,1.0,,,,,,,,,,120,20,Dy,NO3,,,,
WAGQAY,54.0,CCN(CC)C=O,,,,,1.0,,,,,,,,,,120,20,Ni,NO3,,,,
XARPAK,43.0,CN1CCCC1=O,,,,,1.0,,,,,,,,,,120,20,Cu,Cl,,,[O-]C(=O)c1ccc(cc1)N1C=CN([CH]1)c1ccc(cc1)C(=O)[O-],
XIFHIF,49.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,21,Tb,NO3,,,[O-]C(=O)c1ccc(o1)C(=O)[O-],
COXQUB,57.0,O,,,,,1.0,,,,,,,,,,120,24,Cd,SO4,,,[O]S(=O)(=O)[O],n1ccc(cc1)c1ccncc1
FECYOD,,CN(C)C=O,,,,,1.0,,,,,,,,,,120,24,Zn,NO3,,,,
HUSJUC,60.0,CN(C)C=O,,,,,1.0,,,,,Cl,,,,,120,24,La,NO3,,,[O-]C(=O)c1ccc2c(c1)c1ccc(cc1c1c2cc(cc1)C(=O)[O-])C(=O)[O-],
KUSQUM,57.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,24,"Cd,Cu",NO3,NO3|H2SalPyMeCam,,,
PODXEN,64.0,CN(C)C=O,CO,O,CS(=O)C,,0.324,0.154,0.346,0.176,,CCN(CC)CC,,,,,120,24,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],c1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1
QEVKOS,25.0,CC#N,,,,,1.0,,,,,,,,,,120,24,"W,Cu",S,NCS,,c1ncn(c1)Cc1ccc(cc1)Cn1cncc1,
REYCEF,69.0,O,CC#N,,,,0.742,0.258,,,,Cl,,,,,120,24,Zn,Cl,,,[O-]C(=O)c1cc(OCc2ccc(cc2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
TIRRIW,,CN(C)C=O,,,,,1.0,,,,,,,,,,120,24,Co,NO3,,,C1=C[C](C=C[N]1)c1ccncc1,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]
TUBJAD,55.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,120,24,Cu,NO3,,,O=C(c1cccnc1)[NH]=Cc1cccnc1,[O-]C(=O)c1cccc(c1)C(=O)[O-]
XUKHUI,78.0,O,CC(=O)N(C)C,,,,0.837,0.163,,,,,,,,,120,24,Zn,SO4,,,[O-]C(=O)c1cc(NCc2ccc(cc2)CNc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
ZOZPUB,,CN(C)C=O,O,,,,0.19,0.81,,,,,,,,,120,36,Co,NO3,,,[O-]C(=O)Cc1ccc(cc1)n1cnnc1,
HUVHOX,43.0,O,,,,,1.0,,,,,,,,,,120,40,Zn,CH3COO,,,[O-]C(=O)CN(C1=N[C](=O)=[N]=C([N]1)N(CP(=O)([O])[O])CC(=O)[O-])CP(=O)([O])[O],
WEZCIO,,O,,,,,1.0,,,,,,,,,,120,45,"La,Co",O,COOCH3,,[O-]C(=O)COCC(=O)[O-],
BEDYEQ,46.0,CCN(CC)C=O,,,,,,,,,,C1=CC=C(C=C1)C(=O)O,,,,,120,48,"Zr,Fe",Cl,,,[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Fe]24(n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])Cl,
CIFMIP,,CN(C)C=O,,,,,1.0,,,,,,,,,,120,48,Co,Cl,,,[O-]C(=O)c1cc(cc(c1)C(=O)O)C(=O)[O-],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
EHODOV,75.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,48,In,NO3,,,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],
HISGAT,41.26,CN(C)C=O,CCO,O,,,0.503,0.19,0.307,,,,,,,,120,48,K,OH,,,[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-],
HOXRUJ,56.0,O,,,,,1.0,,,,,Cl,,,,,120,48,"Eu,K",O,pztc,,,
ILIMOH,,CN(C)C=O,O,,,,0.19,0.81,,,,,,,,,120,48,Ni,Cl,,,n1ccc(cc1)C1=NC(=N[N]1)c1ccccn1,n1ccc(cc1)C1=NN=C([N]1)c1ccccn1
ILIMUN,,CC#N,CO,,,,0.439,0.561,,,,,,,,,120,48,Ni,Cl,,,n1ccc(cc1)C1=NC(=N[N]1)c1ccccn1,n1ccc(cc1)C1=NN=C([N]1)c1ccccn1
KETHEY,75.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,48,Cd,NO3,,,[O-]C(=O)c1cc(cc(c1)c1ccncc1)C(=O)[O-],
KOLWEO,,CCN(CC)C=O,C(CO)O,CC1=CC=CC=C1,,,0.226,0.592,0.182,,,,,,,,120,48,Ni,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],n1ccc(cc1)c1ccncc1
OJIDAN,71.0,CN(C)C=O,C1CCOC1,C(Cl)Cl,O,,0.129,0.163,0.156,0.552,,[N+](=O)(O)[O-],,,,,120,48,Sc,Cl,,,[O-]C(=O)[C]1C=C[C](C=C1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
OLEKUM,,CN(C)C=O,,,,,1.0,,,,,,,,,,120,48,Zn,NO3,,,C1CN2CCN1CC2,[O-]C(=O)c1cc(Cl)c(cc1Cl)C(=O)[O-]
SARMOO,47.0,O,,,,,1.0,,,,,CC(=O)[O-].O.O.O.[Na+],,,,,120,48,Eu,Cl,,,[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],n1ccc(cc1)c1ccncc1
SOJTOC,49.0,O,CCO,,,,,,,,,,,,,,120,48,"Zn,K",Cl,,,[O-]C(=O)Cc1c(C)c(CC(=O)[O-])c(c(c1C)CC(=O)[O-])C,
TIXVON,63.0,CC(=O)N(C)C,O,,,,0.438,0.562,,,,[OH-].[Na+],,,,,120,48,Mg,NO3,,,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],
WIJXEU,20.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,48,Zn,NO3,,,C1CN2CCN1CC2,[O-]C(=O)c1ccc2c(c1)[nH]c1c2ccc(c1)C(=O)[O-]
WOPHEQ,60.0,CN(C)C=O,O,,,,0.045,0.955,,,,[N+](=O)(O)[O-],,,,,120,48,Co,NO3,,,,
XOTSIK,40.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,48,Cd,NO3,,,,
YOYYUI,28.0,CC(=O)N(C)C,O,,,,0.369,0.631,,,,,,,,,120,48,Zn,NO3,,,,
GUJTOV,30.0,O,,,,,1.0,,,,,,,,,,120,66,"Mo,Cu",O,Cl,,O=C(c1ccncc1)c1ccncc1,
ATIBOU,73.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,72,Mn,NO3,,,[O-]C=O,
COPXOV,,O,,,,,1.0,,,,,[OH-].[Na+],,,,,120,72,Co,OAc,,,[O-]C(=O)c1cc(cc(c1)C(C)(C)C)C(=O)[O-],n1ccc(cc1)C=Cc1ccncc1
DADXUE,84.0,CC(=O)N(C)C,CO,,,,0.814,0.186,,,,,,,,,120,72,Cd,NO3,,,,
EYULOA,61.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,72,Co,NO3,,,C(Cc1ccncc1)Cc1ccncc1,[O-]C(=O)c1ccc(s1)C(=O)[O-]
FIHRIZ,80.0,CC(=O)N(C)C,CO,,,,0.467,0.533,,,,,,,,,120,72,Ni,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],n1ccncc1
FURFIJ,43.0,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,120,72,Cd,NO3,,,C(Cc1ccncc1)Cc1ccncc1,[O-]C(=O)c1ccc(s1)C(=O)[O-]
FURFOP,54.0,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,120,72,Zn,NO3,,,C(Cn1cncc1)CCn1cncc1,[O-]C(=O)c1ccc(s1)C(=O)[O-]
GERWOR,29.0,CN(C)C=O,,,,,1.0,,,,,Cl,,,,,120,72,"Cd,Si",NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])[Si](c1cc(cc(c1)C(=O)[O-])C(=O)[O-])(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
GEVYEN,,O,,,,,1.0,,,,,,,,,,120,72,Zn,NO3,,,[O-]C(=O)c1ccc(c(c1)c1cccnc1)C(=O)[O-],n1ccc(cc1)C=Cc1ccncc1
GEZRAG,60.0,CO,,,,,1.0,,,,,,,,,,120,72,Co,Ac,,,,
HAPGIR,28.0,CN(C)C=O,CC#N,,,,0.729,0.271,,,,,,,,,120,72,Mn,Ac,,,,
HAWGIX,38.0,CO,O,,,,0.308,0.692,,,,,,,,,120,72,Cd,CH3COO,,,[O-]C(=O)c1cc(OCc2c(C)c(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])c(c(c2C)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])C)cc(c1)C(=O)[O-],
HOXSUK,47.0,CN(C)C=O,C1COCCO1,O,,,0.278,0.126,0.595,,,,,,,,120,72,Ni,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
IYOQIY,55.0,CN(C)C=O,CCO,O,,,0.366,0.243,0.391,,,[N+](=O)(O)[O-],[OH-].[Na+],,,,120,72,Cd,NO3,,,[O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-],
IZIGUV,75.0,CN(C)C=O,O,,,,0.483,0.517,,,,C(=O)O,,,,,120,72,In,NO3,,,[C]OC(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)C1=C2C=CC(=N2)C(=c2n3[In]4n5c1ccc5C(=C1[N]4=C(C=C1)C(=c3cc2)c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)[O-],[C]OC(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)C1=c2ccc3=C(C4=[N]5[In](n23)n2c(C(=C3N=C1C=C3)c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)[O-])ccc2C(=C5C=C4)c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)[O-]
KUKPOX,,O,CN(C)C=O,C1COCCO1,,,0.818,0.096,0.087,,,,,,,,120,72,Cu,Cl,,,[O-]C(=O)c1ccc(cc1)n1cnnc1,
KUKPUD,,O,CC#N,,,,0.852,0.148,,,,,,,,,120,72,Cu,Cl,,,,
LALFEL,,O,,,,,1.0,,,,,,,,,,120,72,Cd,NO3,,,[O-]C(=O)C(=O)[O-],
LAWHUP,80.0,CN(C)C=O,CCO,O,,,0.082,0.217,0.701,,,,,,,,120,72,Cd,NO3,,,[O-]C(=O)c1ccc(c2c1nsn2)C(=O)[O-],
MEJQEZ,60.0,O,,,,,1.0,,,,,,,,,,120,72,Zn,NO3,,,,
MEJQID,70.0,CC(=O)N(C)C,CO,,,,0.305,0.695,,,,CNC(=O)NC,,,,,120,72,Zn,NO3,,,,
MEJQOJ,75.0,CN1CCCC1=O,CO,,,,0.297,0.703,,,,CNC(=O)NC,,,,,120,72,Zn,NO3,,,,
NAWKII,,CN(C)C=O,O,,,,0.539,0.461,,,,,,,,,120,72,Mg,Cl,,,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],
NOBVOR,35.0,O,,,,,1.0,,,,,,,,,,120,72,Co,ClO4,,,,
NOHQEI,86.0,CCN(CC)C=O,,,,,1.0,,,,,,,,,,120,72,In,NO3,,,,
NOQLOV,56.0,O,,,,,1.0,,,,,Cl,C(CN)N,,,,120,72,In,NO3,,,[O-]C(=O)C(=O)[O-],
NORJEL,49.0,O,CN(C)C=O,,,,0.955,0.045,,,,,,,,,120,72,Cd,NO3,,,[O-]C(=O)c1cc2ccccc2c(c1O)Cc1c(O)c(cc2c1cccc2)C(=O)[O-],n1ccc(cc1)C=Cc1ccncc1
OKIZIT,65.0,CC(=O)N(C)C,CO,,,,0.305,0.695,,,,[H+].[B-](F)(F)(F)F,,,,,120,72,Co,NO3,,,,
OYEBIE,52.23,O,,,,,1.0,,,,,,,,,,120,72,Zn,ClO4,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],n1ccc(cc1)CCc1ccncc1
PIBGAK,56.0,CN(C)C=O,CCO,O,,,0.419,0.222,0.358,,,,,,,,120,72,Eu,NO3,,,[O-]C(=O)c1ccc2-c3c(C(c2c1)(C)C)cc(cc3)C(=O)[O-],
PUZLAZ,,CN(C)C=O,,,,,1.0,,,,,,,,,,120,72,In,Cl,,,[O-]C(=O)c1ccc(s1)C(=O)[O-],
QASTUC,23.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,72,Mn,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],c1ccc(nc1)c1cc(cc(n1)c1ccccn1)c1ccc(cc1)n1ccnc1
QIRWAR,,O,,,,,1.0,,,,,,,,,,120,72,Cu,NO3,,,O=C1[N]C=CN=C1C(=O)[O-],[O-]C(=O)C1=N[CH]C=NC1=O
REYCOP,65.0,O,CC#N,,,,0.742,0.258,,,,,,,,,120,72,Zn,Cl,,,[O-]C(=O)c1cc(OCc2ccc(cc2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],n1ccc(cc1)CN1CCN(CC1)Cc1ccncc1
RUVBOB,,CN(C)C=O,CO,,,,0.678,0.322,,,,,,,,,120,72,Cd,NO3,,,[O-]C(=O)c1ccc(cc1)n1cnnc1,
SARMEE,49.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,120,72,Eu,Cl,,,[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],
TEJBAN,47.0,O,,,,,1.0,,,,,,,,,,120,72,Eu,O,,,[O-]C(=O)c1ccc(cc1)CN1C=CN([CH]1)Cc1ccc(cc1)C(=O)[O-],
TEJLOL,60.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,72,Cd,NO3,,,,
TETZEZ,58.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,72,Zn,NO3,,,O=C(c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
TETZID,45.0,O,,,,,1.0,,,,,[NH4+].[OH-],,,,,120,72,Cd,NO3,,,O=C(c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1,[O-]C(=O)c1ccc(s1)C(=O)[O-]
UQEGEE,,O,,,,,1.0,,,,,Cl,,,,,120,72,"Mo,V,Co",unknown,NH4|O,Cl,,
UQEGII,,O,,,,,1.0,,,,,Cl,,,,,120,72,"Mo,Ni,V",unknown,Cl,NH4|O,,
VAGTAA,,CN(C)C=O,,,,,1.0,,,,,CCN(CC)CC,,,,,120,72,Mg,NO3,,,[O-]C(=O)c1c(O)c(O)c(c(c1O)O)C(=O)[O-],
VAQSEO,42.0,CN(C)C=O,O,,,,0.072,0.928,,,,[OH-].[Na+],,,,,120,72,Cd,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],c1ncc([nH]1)c1cccc(c1)c1c[nH]cn1
VIPXUO,53.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,120,72,Co,NO3,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],n1ccc(cc1)C(C(c1ccncc1)Cc1ccncc1)Cc1ccncc1
WEGDIX,30.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,72,Cd,SO4,,,S=C1[CH]C=C(C=N1)C(=O)[O-],[O]S(=O)(=O)[O]
